"project_id","index","name","institution","function","roles_and_main_tasks"
"CONTRIBUTE/ENVIPATH+EDGEBP",0,"Martina Kalt",NA,NA,NA
"CONTRIBUTE/ENVIPATH+EDGEBP",1,"Yaochun Yu",NA,NA,NA
"CONTRIBUTE/ENVIPATH+EDGEBP",2,"Hans-Joachim Ruscheweyh",NA,NA,NA
"CONTRIBUTE/ENVIPATH+EDGEBP",3,"Kathrin Fenner",NA,NA,NA
"CONTRIBUTE/ENVIPATH+EDGEBP",4,"Shinichi Sunagawa",NA,NA,NA
"CONTRIBUTE/ENVIPATH+EDGEBP",5,"Serina Robinson",NA,NA,NA
"CONTRIBUTE/GRAND TOUR",0,"Turcan Tuna","ETH Zurich",NA,NA
"CONTRIBUTE/GRAND TOUR",1,"Lanke Frank Tarimo Fu","University of Oxford",NA,NA
"CONTRIBUTE/GRAND TOUR",2,"Cedric Weibel","ETH Zurich",NA,NA
"CONTRIBUTE/GRAND TOUR",3,"Katharine Patterson","ETH Zurich",NA,NA
"CONTRIBUTE/GRAND TOUR",4,"Benjamin Krummenacher","ETH Zurich",NA,NA
"CONTRIBUTE/GRAND TOUR",5,"Matthias Müller","ETH Zurich",NA,NA
"CONTRIBUTE/GRAND TOUR",6,"Julian Nubert","ETH Zurich",NA,NA
"CONTRIBUTE/GRAND TOUR",7,"Maurice Fallon","University of Oxford",NA,NA
"CONTRIBUTE/GRAND TOUR",8,"Cesar Cadena","ETH Zurich",NA,NA
"CONTRIBUTE/GRAND TOUR",9,"Marco Hutter","ETH Zurich",NA,NA
"CONTRIBUTE/GRAND TOUR",0,"Katharine Patterson","ETH Zurich","Robotic researcher","Data collection, robotics research"
"CONTRIBUTE/GRAND TOUR",1,"Tianao Xu","ETH Zurich","Robotic researcher","Data collection, robotics research"
"CONTRIBUTE/GRAND TOUR",2,"Ross Thompson","ETH Zurich","Robotic researcher","Data collection, robotics research"
"CONTRIBUTE/GRAND TOUR",3,"Viola Ferrari","ETH Zurich","Robotic researcher","Data collection, robotics research"
"CONTRIBUTE/GRAND TOUR",0,"Julian Nubert",NA,NA,NA
"CONTRIBUTE/GRAND TOUR",1,"Jonas Frey",NA,NA,NA
"CONTRIBUTE/MAST",0,"Haxh, M.",NA,NA,NA
