"project_id","category","index","quantity","descriptions","urls"
"CONTRIBUTE/API-MOSAIC","datasets_databases",0,1,"Refactor of MOSAIC database architecture",NA
"CONTRIBUTE/API-MOSAIC","estimated_users",0,2,"Average of 70 visits to www.mosaic.ethz.ch per month","www.mosaic.ethz.ch"
"CONTRIBUTE/API-MOSAIC","estimated_users",1,2,"Approximately 150 users have downloaded the beta mosaicpy Python package since its publication in May 2024 (see appendix for evolution)",NA
"CONTRIBUTE/API-MOSAIC","presentations",0,1,"Presentation of new website at EGU 2024","https://meetingorganizer.copernicus.org/EGU24/EGU24-12461.html"
"CONTRIBUTE/API-MOSAIC","software_tools",0,2,"New REST API that queries the database securely","https://pypi.org/project/mosaicpy/"
"CONTRIBUTE/API-MOSAIC","software_tools",1,2,"Beta-version of the Python package mosaicpy was published",NA
"CONTRIBUTE/API-MOSAIC","websites_platforms",0,1,"Launch of new website: www.mosaic.ethz.ch","www.mosaic.ethz.ch"
"CONTRIBUTE/BOOST4EPILEPSY","datasets_databases",0,2,"SzCORE standardized datasets on Zenodo","https://doi.org/10.5281/zenodo.10259996"
"CONTRIBUTE/BOOST4EPILEPSY","datasets_databases",1,2,NA,"https://doi.org/10.5281/zenodo.10640762"
"CONTRIBUTE/BOOST4EPILEPSY","estimated_users",0,650,"website has already been visited by more than 650 visitors; on average it has 120 page views from 60 visitors",NA
"CONTRIBUTE/BOOST4EPILEPSY","models_standards",0,1,"Enhanced standards, guidelines, workflows, benchmarks, protocols and/or best practice","https://doi.org/10.1111/epi.18113"
"CONTRIBUTE/BOOST4EPILEPSY","presentations",0,4,"Oral presentation - October 2023, Lausanne - Fourth International Congress on Mobile Health and Digital Technology in Epilepsy",NA
"CONTRIBUTE/BOOST4EPILEPSY","presentations",1,4,"Oral presentation – April 2024, Park City, Utah, USA - Second edition of The International Conference on Artificial Intelligence and Other Neurological Disorders",NA
"CONTRIBUTE/BOOST4EPILEPSY","presentations",2,4,"Poster presentation – April 2024, Berne - Data Science for the Sciences",NA
"CONTRIBUTE/BOOST4EPILEPSY","presentations",3,4,"Poster presentation – September 2024, Lausanne – Open Science Days",NA
"CONTRIBUTE/BOOST4EPILEPSY","publications",0,1,"Scientific publication","https://doi.org/10.1111/epi.18113"
"CONTRIBUTE/BOOST4EPILEPSY","repositories_catalogues",0,1,"Catalog of open epilepsy datasets","https://eslweb.epfl.ch/epilepsybenchmarks/framework/#datasets"
"CONTRIBUTE/BOOST4EPILEPSY","software_tools",0,3,"New software for dataset standardization and algorithms evaluation","https://github.com/esl-epfl/sz-validation-framework"
"CONTRIBUTE/BOOST4EPILEPSY","software_tools",1,3,NA,"https://github.com/esl-epfl/epilepsy2bids"
"CONTRIBUTE/BOOST4EPILEPSY","software_tools",2,3,NA,"https://github.com/esl-epfl/timescoring"
"CONTRIBUTE/BOOST4EPILEPSY","websites_platforms",0,1,"New website","https://eslweb.epfl.ch/epilepsybenchmarks"
"CONTRIBUTE/BOSTORD","estimated_users",0,0,"Estimate 100s of users within the first year of announcement",NA
"CONTRIBUTE/BOSTORD","publications",0,1,"Publication in progress",NA
"CONTRIBUTE/BOSTORD","software_tools",0,3,"Aim 1: new QIIME 2 plugin for data upload to the ENA repository (repository private as it is still under active development, so no url is provided)","https://github.com/bokulich-lab/q2-checkm"
"CONTRIBUTE/BOSTORD","software_tools",1,3,"Aim 2: new QIIME 2 plugin (q2-checkm) integrating CheckM QC tool","https://github.com/bokulich-lab/q2-moshpit"
"CONTRIBUTE/BOSTORD","software_tools",2,3,"Aim 2: expansion of the q2-moshpit plugin by QC actions using BUSCO",NA
"CONTRIBUTE/BRAINSCOREHUMAN","datasets_databases",0,2,"Natural Scenes Dataset (NSD) packaged in Brain-Score format for model testing.","https://www.brain-score.org/benchmark/vision/169"
"CONTRIBUTE/BRAINSCOREHUMAN","datasets_databases",1,2,"THINGS-similarity dataset behavioral data packaged, benchmark available via Brain-Score platform.","https://github.com/brain-score/vision/pull/1221"
"CONTRIBUTE/BRAINSCOREHUMAN","estimated_users",0,400,"Over 400 registered Brain-Score users; 100,000+ annual visits to the website.",NA
"CONTRIBUTE/BRAINSCOREHUMAN","models_standards",0,4,"Proposed and revised Brain-Score model API for human data.","https://github.com/brain-score/vision/blob/master/brainscore_vision/model_interface.py"
"CONTRIBUTE/BRAINSCOREHUMAN","models_standards",1,4,"New models submitted and integrated for human visual data evaluation in Brain-Score.","https://www.brain-score.org/benchmark/vision/169"
"CONTRIBUTE/BRAINSCOREHUMAN","models_standards",2,4,"New benchmarks for NSD and THINGS-similarity data available on Brain-Score.","https://github.com/brain-score/vision/pull/1221"
"CONTRIBUTE/BRAINSCOREHUMAN","models_standards",3,4,"Best practice workflows for aligning computational models with human fMRI and behavioral data.","https://www.brain-score.org/model/vision/2147"
"CONTRIBUTE/BRAINSCOREHUMAN","new_collaborations",0,2,"Collaboration with the Hebart lab at Max Planck Institute.",NA
"CONTRIBUTE/BRAINSCOREHUMAN","new_collaborations",1,2,"Collaboration with the Yamins lab at Stanford.",NA
"CONTRIBUTE/BRAINSCOREHUMAN","outreach_activities",0,1,"Brain-Score benchmarking competition for the community.","https://www.brain-score.org/competition/"
"CONTRIBUTE/BRAINSCOREHUMAN","publications",0,8,"3 publications directly from the applicant’s group, at least 5 others in the wider community using project resources",NA
"CONTRIBUTE/BRAINSCOREHUMAN","repositories_catalogues",0,1,"GitHub repository for brain-score/vision—central repository for the project’s code, models, and benchmarks.","https://www.github.com/brain-score/vision"
"CONTRIBUTE/BRAINSCOREHUMAN","software_tools",0,1,"Enhanced Brain-Score Python model interface for human as well as non-human data.","https://github.com/brain-score/vision/blob/master/brainscore_vision/model_interface.py"
"CONTRIBUTE/BRAINSCOREHUMAN","websites_platforms",0,1,"Enhancements to the Brain-Score platform to support human data and new evaluation functionalities.","https://www.brain-score.org/"
"CONTRIBUTE/BRAINSCOREHUMAN","presentations",0,2,"Presentation of publication at ICML 2025 (arxiv.org/abs/2504.05253)","https://arxiv.org/abs/2504.05253"
"CONTRIBUTE/BRAINSCOREHUMAN","presentations",1,2,"Presentation as Spotlight at ICML 2025 (arxiv.org/abs/2411.05712)","https://arxiv.org/abs/2411.05712"
"CONTRIBUTE/BRAINSCOREHUMAN","publications",0,8,"Publication on arxiv.org (2504.05253), presented at ICML 2025","https://arxiv.org/abs/2504.05253"
"CONTRIBUTE/BRAINSCOREHUMAN","publications",1,8,"Publication on arxiv.org (2411.05712), presented at ICML 2025 as Spotlight","https://arxiv.org/abs/2411.05712"
"CONTRIBUTE/BRAINSCOREHUMAN","publications",2,8,"Publication on biorxiv.org (submitted to journal)","https://www.biorxiv.org/content/10.1101/2025.07.22.664908"
"CONTRIBUTE/BRAINSCOREHUMAN","publications",3,8,"Abstract PDF at 2025.ccneuro.org","https://2025.ccneuro.org/abstract_pdf/Al-Karkari_2025_Do_Dynamics_Matter_Neural_Alignment_A.pdf"
"CONTRIBUTE/BRAINSCOREHUMAN","publications",4,8,"arxiv.org PDF (2412.09115)","https://arxiv.org/pdf/2412.09115"
"CONTRIBUTE/BRAINSCOREHUMAN","publications",5,8,"Proceedings at NeurIPS 2024","https://proceedings.neurips.cc/paper_files/paper/2024/hash/ae28c7bc9414ffd8ffd2b3d454e6ef3e-Abstract-Conference.html"
"CONTRIBUTE/BRAINSCOREHUMAN","publications",6,8,"Publication on eScholarship.org","https://escholarship.org/uc/item/9nj174x3"
