change_type,column,row,row_number_main,row_number_current,old_value,new_value,data_type
value_changed,total_budget_personnel_senior_staff,EXPLORE/INOAP,64,64,75000.0,50000.0,numeric
value_changed,total_budget_equipment,EXPLORE/INOAP,64,64,15000.0,0.0,numeric
value_changed,total_budget_other_total_direct,EXPLORE/OPENCHEMUSES,70,70,6500.0,0.0,numeric
value_changed,total_budget_personnel_postdocs,CONTRIBUTE/FIRE,13,13,30000.0,0.0,numeric
value_changed,total_budget_other_other,CONTRIBUTE/OGAIS,23,23,0.0,1200.0,numeric
value_changed,total_budget_total_costs,ESTABLISH/PREMISE,50,50,644100.0,1292100.0,numeric
value_changed,total_budget_other_total_direct,CONTRIBUTE/FLAKE,14,14,2000.0,NA,numeric
value_changed,total_budget_other_total_direct,EXPLORE/DCSM,55,55,131777.0,0.0,numeric
value_changed,total_budget_personnel_total_direct,EXPLORE/FOREST3DTWIN,59,59,130000.0,150000.0,numeric
value_changed,total_budget_total_direct,EXPLORE/FOREST3DTWIN,59,59,0.0,150000.0,numeric
value_changed,total_budget_other_publication_fees,EXPLORE/FOREST3DTWIN,59,59,-1.0,0.0,numeric
value_changed,total_budget_other_other,EXPLORE/MED-WEAR,66,66,0.0,4000.0,numeric
value_changed,total_budget_personnel_postdocs,EXPLORE/MED-WEAR,66,66,138736.0,0.0,numeric
value_changed,total_budget_personnel_total_direct,CONTRIBUTE/MISHMASH,19,19,7595.0,30095.0,numeric
value_changed,total_budget_personnel_senior_staff,CONTRIBUTE/MISHMASH,19,19,NA,24464.0,numeric
value_changed,total_budget_personnel_other,CONTRIBUTE/MISHMASH,19,19,1964.0,0.0,numeric
value_changed,total_budget_total_costs,ESTABLISH/OPEM,48,48,1500000.0,700000.0,numeric
value_changed,total_budget_personnel_total_direct,EXPLORE/ILOG,63,63,145260.0,72630.0,numeric
value_changed,total_budget_personnel_senior_staff,EXPLORE/ILOG,63,63,54900.0,27450.0,numeric
value_changed,total_budget_personnel_other,EXPLORE/ILOG,63,63,63000.0,31500.0,numeric
value_changed,total_budget_personnel_students,EXPLORE/ILOG,63,63,27360.0,13680.0,numeric
value_changed,total_budget_total_direct,EXPLORE/ILOG,63,63,149260.0,74630.0,numeric
value_changed,total_budget_personnel_students,EXPLORE/HT-CHEMBORD,62,62,0.0,50000.0,numeric
value_changed,total_budget_total_costs,EXPLORE/OPENNEXUS-E,71,71,111675.0,148900.0,numeric
value_changed,total_budget_other_other,CONTRIBUTE/STILLBERGDAT,37,37,0.0,15000.0,numeric
value_changed,total_budget_personnel_total_direct,EXPLORE/OPENWASHDATA,75,75,134700.0,113400.0,numeric
value_changed,total_budget_personnel_senior_staff,EXPLORE/OPENWASHDATA,75,75,20000.0,0.0,numeric
value_changed,total_budget_subcontracting,EXPLORE/OPENWASHDATA,75,75,0.0,30000.0,numeric
value_changed,total_budget_personnel_other,EXPLORE/OPENWASHDATA,75,75,114700.0,113400.0,numeric
value_changed,total_budget_other_total_direct,EXPLORE/OPENWASHDATA,75,75,15290.0,6600.0,numeric
value_changed,total_budget_total_direct,EXPLORE/OPENWASHDATA,75,75,149990.0,120000.0,numeric
value_changed,total_budget_other_conferences_workshops,EXPLORE/OPENWASHDATA,75,75,6200.0,6000.0,numeric
value_changed,total_budget_equipment,EXPLORE/OPENWASHDATA,75,75,5000.0,600.0,numeric
value_changed,total_budget_total_costs,EXPLORE/OPENWASHDATA,75,75,149990.0,150000.0,numeric
value_changed,total_budget_travel,EXPLORE/OPENWASHDATA,75,75,4090.0,600.0,numeric
value_changed,total_budget_personnel_postdocs,CONTRIBUTE/SOLARFUELSDB+,33,33,0.0,20909.0,numeric
value_changed,total_budget_personnel_total_direct,EXPLORE/OPENWASHDATA,76,76,113400.0,134700.0,numeric
value_changed,total_budget_personnel_senior_staff,EXPLORE/OPENWASHDATA,76,76,0.0,20000.0,numeric
value_changed,total_budget_subcontracting,EXPLORE/OPENWASHDATA,76,76,30000.0,0.0,numeric
value_changed,total_budget_personnel_other,EXPLORE/OPENWASHDATA,76,76,113400.0,114700.0,numeric
value_changed,total_budget_other_total_direct,EXPLORE/OPENWASHDATA,76,76,6600.0,15290.0,numeric
value_changed,total_budget_total_direct,EXPLORE/OPENWASHDATA,76,76,120000.0,149990.0,numeric
value_changed,total_budget_other_conferences_workshops,EXPLORE/OPENWASHDATA,76,76,6000.0,6200.0,numeric
value_changed,total_budget_equipment,EXPLORE/OPENWASHDATA,76,76,0.0,5000.0,numeric
value_changed,total_budget_total_costs,EXPLORE/OPENWASHDATA,76,76,150000.0,149990.0,numeric
value_changed,total_budget_travel,EXPLORE/OPENWASHDATA,76,76,600.0,4090.0,numeric
value_changed,total_budget_personnel_senior_staff,CONTRIBUTE/TIMERESHDRMX,39,39,11000.0,0.0,numeric
value_changed,total_budget_total_costs,CONTRIBUTE/GLOVDH,15,15,29991.2,29992.0,numeric
value_changed,total_budget_total_costs,CONTRIBUTE/NEST-BOT,21,21,15000.0,30000.0,numeric
value_changed,total_budget_total_direct,EXPLORE/INSCRIBE,65,65,150000.0,75000.0,numeric
value_changed,total_budget_personnel_postdocs,EXPLORE/INSCRIBE,65,65,74807.0,149807.0,numeric
value_changed,total_budget_total_costs,EXPLORE/INSCRIBE,65,65,150000.0,75000.0,numeric
value_changed,total_budget_personnel_total_direct,EXPLORE/OPEN-ACTRIS,69,69,145000.0,109000.0,numeric
value_changed,total_budget_total_direct,EXPLORE/OPEN-ACTRIS,69,69,149000.0,109000.0,numeric
