change_type,column,row,row_number_main,row_number_current,old_value,new_value,data_type
value_changed,ethics_artificial_intelligence,CONTRIBUTE/BRAINSCOREHUMAN,6,6,False,True,text
value_changed,ethics_activities_outside_switzerland,EXPLORE/OPENWASHDATA,73,73,False,True,text
value_changed,ethics_human_participants,EXPLORE/OPENWASHDATA,73,73,True,False,text
value_changed,ethics_personal_data_import_switzerland,CONTRIBUTE/WASHCOLLAB,45,45,NA,True,text
value_changed,ethics_activities_outside_switzerland,CONTRIBUTE/SOP,34,34,NA,True,text
value_changed,ethics_animals,EXPLORE/INOAP,62,62,True,False,text
value_changed,ethics_personal_data_import_switzerland,CONTRIBUTE/FIRE,13,13,False,True,text
value_changed,ethics_personal_data_further_processing,CONTRIBUTE/NGSDATABOOSTER,22,22,False,True,text
value_changed,ethics_personal_data_further_processing,CONTRIBUTE/ORSMD,28,28,True,False,text
value_changed,ethics_activities_outside_switzerland,CONTRIBUTE/ORSMD,28,28,True,False,text
value_changed,ethics_human_interventions,EXPLORE/MED-WEAR,64,64,False,True,text
value_changed,ethics_human_participants,EXPLORE/MED-WEAR,64,64,True,False,text
value_changed,ethics_artificial_intelligence,EXPLORE/MED-WEAR,64,64,True,False,text
value_changed,ethics_local_resources,EXPLORE/SOLIDIPES,75,75,False,True,text
value_changed,ethics_activities_outside_switzerland,EXPLORE/ASTROORDAS,51,51,True,False,text
value_changed,ethics_activities_outside_switzerland,CONTRIBUTE/TIMERESHDRMX,39,39,True,False,text
value_changed,ethics_human_participants,EXPLORE/OPENWASHDATA,74,74,False,True,text
value_changed,ethics_activities_outside_switzerland,EXPLORE/INSCRIBE,63,63,False,True,text
value_changed,ethics_artificial_intelligence,EXPLORE/INSCRIBE,63,63,False,True,text
value_changed,ethics_personal_data_further_processing,CONTRIBUTE/MAST,18,18,False,True,text
value_changed,ethics_export_material,EXPLORE/FOREST3DTWIN,57,57,False,True,text
value_changed,ethics_artificial_intelligence,EXPLORE/FOREST3DTWIN,57,57,False,True,text
value_changed,ethics_activities_outside_switzerland,EXPLORE/ADDLIDAR,50,50,True,False,text
value_changed,ethics_human_interventions,CONTRIBUTE/TREENETGAPS,42,42,True,False,text
value_changed,ethics_activities_outside_switzerland,EXPLORE/OPENSPM+,72,72,NA,True,text
