change_type,column,row,row_number_main,row_number_current,old_value,new_value,data_type
new_row,project_id,CONTRIBUTE/FLAKE,N/A,64,N/A,[new row],text
new_row,project_id,CONTRIBUTE/MAST,N/A,76,N/A,[new row],text
new_row,project_id,EXPLORE/SOLIDIPES,N/A,325,N/A,[new row],text
new_row,project_id,EXPLORE/INOAP,N/A,280,N/A,[new row],text
new_row,project_id,CONTRIBUTE/PHENOMAST,N/A,126,N/A,[new row],text
new_row,project_id,CONTRIBUTE/XYT,N/A,211,N/A,[new row],text
new_row,project_id,CONTRIBUTE/PHENOMAST,N/A,129,N/A,[new row],text
new_row,project_id,CONTRIBUTE/WEAR-MED,N/A,207,N/A,[new row],text
new_row,project_id,EXPLORE/SUCCESS,N/A,335,N/A,[new row],text
new_row,project_id,CONTRIBUTE/TIMERESHDRMX,N/A,176,N/A,[new row],text
new_row,project_id,EXPLORE/SOLIDIPES,N/A,329,N/A,[new row],text
new_row,project_id,CONTRIBUTE/FLAKE,N/A,62,N/A,[new row],text
new_row,project_id,CONTRIBUTE/ENVIPATH+EDGEBP,N/A,43,N/A,[new row],text
new_row,project_id,CONTRIBUTE/MAST,N/A,78,N/A,[new row],text
new_row,project_id,CONTRIBUTE/PHENOMAST,N/A,127,N/A,[new row],text
new_row,project_id,CONTRIBUTE/TIMERESHDRMX,N/A,175,N/A,[new row],text
new_row,project_id,CONTRIBUTE/API-MOSAIC,N/A,5,N/A,[new row],text
new_row,project_id,CONTRIBUTE/PYCSOU-FAIR,N/A,132,N/A,[new row],text
new_row,project_id,EXPLORE/SUCCESS,N/A,332,N/A,[new row],text
new_row,project_id,CONTRIBUTE/MAST,N/A,77,N/A,[new row],text
new_row,project_id,CONTRIBUTE/WEAR-MED,N/A,206,N/A,[new row],text
new_row,project_id,CONTRIBUTE/API-MOSAIC,N/A,4,N/A,[new row],text
new_row,project_id,CONTRIBUTE/ENVIPATH+EDGEBP,N/A,42,N/A,[new row],text
new_row,project_id,CONTRIBUTE/NGSDATABOOSTER,N/A,95,N/A,[new row],text
new_row,project_id,CONTRIBUTE/NGSDATABOOSTER,N/A,96,N/A,[new row],text
new_row,project_id,CONTRIBUTE/TIMERESHDRMX,N/A,173,N/A,[new row],text
new_row,project_id,CONTRIBUTE/FLAKE,N/A,66,N/A,[new row],text
new_row,project_id,EXPLORE/OPENSPM+,N/A,313,N/A,[new row],text
new_row,project_id,EXPLORE/SOLIDIPES,N/A,326,N/A,[new row],text
new_row,project_id,CONTRIBUTE/TIMERESHDRMX,N/A,172,N/A,[new row],text
new_row,project_id,CONTRIBUTE/XYT,N/A,209,N/A,[new row],text
new_row,project_id,CONTRIBUTE/PYCSOU-FAIR,N/A,131,N/A,[new row],text
new_row,project_id,CONTRIBUTE/FLAKE,N/A,65,N/A,[new row],text
new_row,project_id,EXPLORE/OPENCHEMUSES,N/A,293,N/A,[new row],text
new_row,project_id,CONTRIBUTE/XYT,N/A,208,N/A,[new row],text
new_row,project_id,EXPLORE/OPENCHEMUSES,N/A,292,N/A,[new row],text
new_row,project_id,CONTRIBUTE/ENVIPATH+EDGEBP,N/A,45,N/A,[new row],text
new_row,project_id,EXPLORE/SUCCESS,N/A,334,N/A,[new row],text
new_row,project_id,EXPLORE/SOLIDIPES,N/A,327,N/A,[new row],text
new_row,project_id,EXPLORE/SUCCESS,N/A,333,N/A,[new row],text
new_row,project_id,CONTRIBUTE/XYT,N/A,212,N/A,[new row],text
new_row,project_id,EXPLORE/SUCCESS,N/A,331,N/A,[new row],text
new_row,project_id,EXPLORE/OPENCHEMUSES,N/A,295,N/A,[new row],text
new_row,project_id,CONTRIBUTE/API-MOSAIC,N/A,3,N/A,[new row],text
new_row,project_id,CONTRIBUTE/PHENOMAST,N/A,128,N/A,[new row],text
new_row,project_id,EXPLORE/SOLIDIPES,N/A,330,N/A,[new row],text
new_row,project_id,CONTRIBUTE/TIMERESHDRMX,N/A,174,N/A,[new row],text
new_row,project_id,EXPLORE/OPENSPM+,N/A,312,N/A,[new row],text
new_row,project_id,CONTRIBUTE/MAST,N/A,75,N/A,[new row],text
new_row,project_id,CONTRIBUTE/API-MOSAIC,N/A,6,N/A,[new row],text
new_row,project_id,EXPLORE/OPENCHEMUSES,N/A,294,N/A,[new row],text
new_row,project_id,EXPLORE/INOAP,N/A,279,N/A,[new row],text
new_row,project_id,CONTRIBUTE/NGSDATABOOSTER,N/A,97,N/A,[new row],text
new_row,project_id,CONTRIBUTE/PHENOMAST,N/A,125,N/A,[new row],text
new_row,project_id,CONTRIBUTE/PYCSOU-FAIR,N/A,134,N/A,[new row],text
new_row,project_id,EXPLORE/SOLIDIPES,N/A,328,N/A,[new row],text
new_row,project_id,CONTRIBUTE/ENVIPATH+EDGEBP,N/A,44,N/A,[new row],text
new_row,project_id,CONTRIBUTE/PYCSOU-FAIR,N/A,133,N/A,[new row],text
new_row,project_id,CONTRIBUTE/FLAKE,N/A,63,N/A,[new row],text
new_row,project_id,CONTRIBUTE/XYT,N/A,210,N/A,[new row],text
new_row,project_id,CONTRIBUTE/FLAKE,N/A,61,N/A,[new row],text
