change_type,column,row,row_number_main,row_number_current,old_value,new_value,data_type
value_changed,project_title,EXPLORE/OPENWASHDATA,73,73,Open WASH data by building Open Science Competencies and Community,Open WASH data by establishing Data Stewards and increasing FAIRness,text
value_changed,document_path,EXPLORE/OPENWASHDATA,73,73,raw/ORD_files/Explore/Tilley - 1st call/application/ETHZ_Tilley_1st_call.pdf,raw/ORD_files/Explore/Tilley - 2nd call/application/ETHZ_Tilley_2nd_call.pdf,text
value_changed,project_title,EXPLORE/FAIRQUAL,56,56,FAIRqual - FAIR Data Practices for Qualitative Research in Transdisciplinarity,FAIR Data Practices for Qualitative Research in Transdisciplinarity,text
value_changed,project_title,CONTRIBUTE/OPAS,24,24,Open Processing of Airborne imaging Spectrometry,Open Processing of Airborne imaging Spectrometry (OPAS),text
value_changed,project_title,CONTRIBUTE/SOP,34,34,Speckle-OpenCascade Prototype for Enhanced AEC Interoperability through Geometry-Centered Approach.,Speckle-OpenCascade Prototype for Enhanced AEC Interoperability through Geometry-Centered Approach,text
value_changed,project_title,CONTRIBUTE/WEAR-MED,46,46,Open Access and Interoperability in Medical Wearables: Community-driven standardization of low-level communication protocols for raw wearable sensor data,Open Access and Interoperability in Medical Wearables,text
value_changed,project_title,EXPLORE/NHCDATAVISION,65,65,Enhancing 3D data visualization standards and practices for natural history collections,NA,text
value_changed,project_title,CONTRIBUTE/FIRE,13,13,Open Mechanized Foundations for JavaScript Regular Expressions (FiRE),Open Mechanized Foundations for JavaScript Regular Expressions,text
value_changed,project_title,EXPLORE/EXAIRIM,54,54,Explore AiiDA for Regional Inverse Modelling of Greenhouse Gases (ExAiRIM),Explore AiiDA for Regional Inverse Modelling of Greenhouse Gases,text
value_changed,project_title,EXPLORE/HT-CHEMBORD,60,60,High-Throughput Chemistry Based Open Research Database,High-Throughput Chemistry Based Open Research Database HT-CHEMBORD,text
value_changed,project_title,EXPLORE/XCELL,77,77,Towards an Open and Fair International Tree-Ring database for intra-annual tree-ring data and images (Xcell),Towards an Open and Fair International Tree-Ring database for intra-annual tree-ring data and Images (Xcell),text
value_changed,project_title,CONTRIBUTE/GRAND TOUR,17,17,Fostering Research on Mobile Robotics with High-Quality Data and Open Tooling (GrandTour),Fostering Research on Mobile Robotics with High-Quality Data and Open Tooling,text
value_changed,project_title,EXPLORE/MED-WEAR,64,64,Open API and Interoperability in Medical Wearable Data for Healthcare Research,NA,text
value_changed,project_title,EXPLORE/COORDINEO,52,52,COmmunity Needs of Open Research Data Practices iN FibEr-Optic Sensing - Leading by Example. [COORDINEO],COmmunity Needs of Open Research Data PractIces iN FibEr-Optic Sensing - Leading by Example. [COORDINEO],text
value_changed,project_title,ESTABLISH/PREMISE,49,49,PREMISE: Open and Reproducible Materials Science Research,PREMISE (Open and Reproducible Materials Science Research),text
value_changed,project_title,EXPLORE/OPENSPM,71,71,An ecosystem for community driven scanning probe microscopy research and development - OpenSPM,An ecosystem for community driven scanning probe microscopy research and development,text
value_changed,project_title,EXPLORE/OPENWASHDATA,74,74,Open WASH data by establishing Data Stewards and increasing FAIRness,Open WASH data by building Open Science Competencies and Community,text
value_changed,document_path,EXPLORE/OPENWASHDATA,74,74,raw/ORD_files/Explore/Tilley - 2nd call/application/ETHZ_Tilley_2nd_call.pdf,raw/ORD_files/Explore/Tilley - 1st call/application/ETHZ_Tilley_1st_call.pdf,text
value_changed,project_title,CONTRIBUTE/FAIR-CITIES,12,12,FAIRifying Urban Climate Modeling for Greening Cities (FAIR-CITIES),NA,text
value_changed,project_title,EXPLORE/OPEN-ACTRIS,67,67,OPEN-ACTRIS: Building FAIR data chains for atmospheric observations in the ACTRIS-Switzerland network.,NA,text
