change_type,column,row,row_number_main,row_number_current,old_value,new_value,data_type
removed_row,project_id,ESTABLISH/PREMISE,76,N/A,[row removed],N/A,text
removed_row,project_id,ESTABLISH/PREMISE,68,N/A,[row removed],N/A,text
removed_row,project_id,CONTRIBUTE/MAST,26,N/A,[row removed],N/A,text
removed_row,project_id,ESTABLISH/PREMISE,80,N/A,[row removed],N/A,text
removed_row,project_id,EXPLORE/COORDINEO,91,N/A,[row removed],N/A,text
removed_row,project_id,ESTABLISH/PREMISE,74,N/A,[row removed],N/A,text
removed_row,project_id,CONTRIBUTE/GRAND TOUR,15,N/A,[row removed],N/A,text
removed_row,project_id,ESTABLISH/PREMISE,69,N/A,[row removed],N/A,text
removed_row,project_id,CONTRIBUTE/GRAND TOUR,10,N/A,[row removed],N/A,text
removed_row,project_id,ESTABLISH/PREMISE,83,N/A,[row removed],N/A,text
removed_row,project_id,EXPLORE/SOLIDIPES,127,N/A,[row removed],N/A,text
removed_row,project_id,EXPLORE/HT-CHEMBORD,101,N/A,[row removed],N/A,text
removed_row,project_id,CONTRIBUTE/WEAR-MED,38,N/A,[row removed],N/A,text
removed_row,project_id,EXPLORE/SOLIDIPES,124,N/A,[row removed],N/A,text
removed_row,project_id,CONTRIBUTE/GRAND TOUR,18,N/A,[row removed],N/A,text
removed_row,project_id,CONTRIBUTE/GRAND TOUR,23,N/A,[row removed],N/A,text
removed_row,project_id,CONTRIBUTE/GRAND TOUR,17,N/A,[row removed],N/A,text
removed_row,project_id,CONTRIBUTE/WEAR-MED,36,N/A,[row removed],N/A,text
removed_row,project_id,EXPLORE/COORDINEO,90,N/A,[row removed],N/A,text
removed_row,project_id,CONTRIBUTE/GRAND TOUR,9,N/A,[row removed],N/A,text
removed_row,project_id,ESTABLISH/PREMISE,75,N/A,[row removed],N/A,text
removed_row,project_id,ESTABLISH/PREMISE,67,N/A,[row removed],N/A,text
removed_row,project_id,EXPLORE/OPENSPM,115,N/A,[row removed],N/A,text
removed_row,project_id,ESTABLISH/PREMISE,73,N/A,[row removed],N/A,text
removed_row,project_id,ESTABLISH/PREMISE,71,N/A,[row removed],N/A,text
removed_row,project_id,CONTRIBUTE/GRAND TOUR,14,N/A,[row removed],N/A,text
removed_row,project_id,ESTABLISH/PREMISE,77,N/A,[row removed],N/A,text
removed_row,project_id,CONTRIBUTE/GRAND TOUR,13,N/A,[row removed],N/A,text
removed_row,project_id,CONTRIBUTE/WEAR-MED,37,N/A,[row removed],N/A,text
removed_row,project_id,EXPLORE/HT-CHEMBORD,98,N/A,[row removed],N/A,text
removed_row,project_id,CONTRIBUTE/GRAND TOUR,8,N/A,[row removed],N/A,text
removed_row,project_id,ESTABLISH/PREMISE,85,N/A,[row removed],N/A,text
removed_row,project_id,ESTABLISH/PREMISE,70,N/A,[row removed],N/A,text
removed_row,project_id,ESTABLISH/PREMISE,64,N/A,[row removed],N/A,text
removed_row,project_id,ESTABLISH/PREMISE,66,N/A,[row removed],N/A,text
removed_row,project_id,ESTABLISH/PREMISE,84,N/A,[row removed],N/A,text
removed_row,project_id,EXPLORE/HT-CHEMBORD,99,N/A,[row removed],N/A,text
removed_row,project_id,EXPLORE/OPENSPM,113,N/A,[row removed],N/A,text
removed_row,project_id,ESTABLISH/PREMISE,81,N/A,[row removed],N/A,text
removed_row,project_id,ESTABLISH/PREMISE,79,N/A,[row removed],N/A,text
removed_row,project_id,EXPLORE/SOLIDIPES,122,N/A,[row removed],N/A,text
removed_row,project_id,EXPLORE/HT-CHEMBORD,102,N/A,[row removed],N/A,text
removed_row,project_id,EXPLORE/OPENSPM,112,N/A,[row removed],N/A,text
removed_row,project_id,CONTRIBUTE/GRAND TOUR,19,N/A,[row removed],N/A,text
removed_row,project_id,CONTRIBUTE/GRAND TOUR,21,N/A,[row removed],N/A,text
removed_row,project_id,CONTRIBUTE/GRAND TOUR,20,N/A,[row removed],N/A,text
removed_row,project_id,CONTRIBUTE/WEAR-MED,40,N/A,[row removed],N/A,text
removed_row,project_id,EXPLORE/OPENSPM,116,N/A,[row removed],N/A,text
removed_row,project_id,CONTRIBUTE/WEAR-MED,39,N/A,[row removed],N/A,text
removed_row,project_id,EXPLORE/HT-CHEMBORD,100,N/A,[row removed],N/A,text
removed_row,project_id,EXPLORE/COORDINEO,92,N/A,[row removed],N/A,text
removed_row,project_id,ESTABLISH/PREMISE,62,N/A,[row removed],N/A,text
removed_row,project_id,EXPLORE/OPENSPM,114,N/A,[row removed],N/A,text
removed_row,project_id,EXPLORE/SOLIDIPES,125,N/A,[row removed],N/A,text
removed_row,project_id,CONTRIBUTE/MAST,25,N/A,[row removed],N/A,text
removed_row,project_id,ESTABLISH/PREMISE,82,N/A,[row removed],N/A,text
removed_row,project_id,CONTRIBUTE/GRAND TOUR,12,N/A,[row removed],N/A,text
removed_row,project_id,CONTRIBUTE/GRAND TOUR,16,N/A,[row removed],N/A,text
removed_row,project_id,EXPLORE/SOLIDIPES,126,N/A,[row removed],N/A,text
removed_row,project_id,CONTRIBUTE/WEAR-MED,41,N/A,[row removed],N/A,text
removed_row,project_id,CONTRIBUTE/MAST,24,N/A,[row removed],N/A,text
removed_row,project_id,ESTABLISH/PREMISE,63,N/A,[row removed],N/A,text
removed_row,project_id,CONTRIBUTE/GRAND TOUR,11,N/A,[row removed],N/A,text
removed_row,project_id,CONTRIBUTE/GRAND TOUR,22,N/A,[row removed],N/A,text
removed_row,project_id,ESTABLISH/PREMISE,65,N/A,[row removed],N/A,text
removed_row,project_id,EXPLORE/HT-CHEMBORD,97,N/A,[row removed],N/A,text
removed_row,project_id,EXPLORE/SOLIDIPES,123,N/A,[row removed],N/A,text
removed_row,project_id,ESTABLISH/PREMISE,72,N/A,[row removed],N/A,text
removed_row,project_id,ESTABLISH/PREMISE,78,N/A,[row removed],N/A,text
removed_row,project_id,ESTABLISH/PREMISE,86,N/A,[row removed],N/A,text
value_changed,institution,ESTABLISH/OPEM,42,17,EPFL,"LBEM, Inst. of Physics, Basic Sciences, EPFL",text
value_changed,roles_and_main_tasks,ESTABLISH/OPEM,42,17,Project Management; Integration with international repositories (WP3),"* Project Management
* Integration with international repositories (WP3)",text
value_changed,roles_and_main_tasks,ESTABLISH/OPEM,44,19,Standards for material science (WP1),* Standards for material science (WP1),text
value_changed,function,ESTABLISH/PREMISE,53,28,Head of Laboratory,Head of Scientific IT Services,text
value_changed,name,ESTABLISH/PREMISE,53,28,Corsin Battaglia,Bernd Rinn,text
value_changed,institution,ESTABLISH/PREMISE,53,28,Empa,ETH Zurich,text
value_changed,roles_and_main_tasks,ESTABLISH/PREMISE,53,28,Provide application/field interoperability challenges and supervise data collection,Provide ELN expert knowledge and supervision of ELN feature development,text
value_changed,function,CONTRIBUTE/STILLBERGDAT,29,10,"Researcher, Research Unit Land Change Science",Research Unit Land Change Science,text
value_changed,roles_and_main_tasks,CONTRIBUTE/STILLBERGDAT,29,10,Collaboration on data curation and publication (INFERRED FROM TEXT),NA,text
value_changed,function,ESTABLISH/OPEM,51,26,Professor,NA,text
value_changed,name,ESTABLISH/OPEM,51,26,Christel Genoud,Prof. Christel Genoud,text
value_changed,institution,CONTRIBUTE/ENVIPATH+EDGEBP,4,4,NA,ETH,text
value_changed,function,CONTRIBUTE/STILLBERGDAT,33,14,"Researcher, Department of Forest Resources Management",Department of Forest Resources Management,text
value_changed,institution,CONTRIBUTE/STILLBERGDAT,33,14,UBC,University of British Columbia,text
value_changed,roles_and_main_tasks,CONTRIBUTE/STILLBERGDAT,33,14,External scientific collaborator (INFERRED FROM TEXT),NA,text
value_changed,index,ESTABLISH/PREMISE,61,36,9,1,numeric
value_changed,name,ESTABLISH/PREMISE,61,36,Simon Bekemeier,M. Leclair,text
value_changed,institution,ESTABLISH/PREMISE,61,36,BAM,ETHZ,text
value_changed,roles_and_main_tasks,ESTABLISH/PREMISE,61,36,ORD transfer protocol,"Weather and climate (C2SM/ETHZ), SwissTwins project",text
value_changed,function,ESTABLISH/PREMISE,55,30,NA,Senior Scientist,text
value_changed,name,ESTABLISH/PREMISE,55,30,Helge Stein,Carlo Pignedoli,text
value_changed,institution,ESTABLISH/PREMISE,55,30,NA,Empa,text
value_changed,roles_and_main_tasks,ESTABLISH/PREMISE,55,30,autonomous platforms (batteries and beyond),Provide application/field interoperability challenges and supervise UI development,text
value_changed,function,CONTRIBUTE/STILLBERGDAT,35,16,eLTER data management,Environment Agency,text
value_changed,institution,CONTRIBUTE/STILLBERGDAT,35,16,Environment Agency Austria,Austria (eLTER data management),text
value_changed,roles_and_main_tasks,CONTRIBUTE/STILLBERGDAT,35,16,Data interoperability and international network integration,NA,text
value_changed,function,CONTRIBUTE/STILLBERGDAT,34,15,ORD platform and data infrastructure support,EnviDat team,text
value_changed,roles_and_main_tasks,CONTRIBUTE/STILLBERGDAT,34,15,"Data hosting, infrastructure, IT support",NA,text
value_changed,institution,EXPLORE/HT-CHEMBORD,96,43,- SDSC (Swiss Data Science Center)- ORDES (Open Research Data Engagement and Services),"SDSC, ORDES",text
value_changed,roles_and_main_tasks,EXPLORE/HT-CHEMBORD,96,43,- Develop the research data infrastructure (RDI)- Semantic engineer domain ontology for metadata enhancement,Develop the research data infrastructure (RDI); Semantic engineer domain ontology for metadata enhancement,text
value_changed,institution,CONTRIBUTE/ENVIPATH+EDGEBP,3,3,NA,Eawag/UZH,text
value_changed,name,ESTABLISH/PREMISE,58,33,Simon Stier,Fabio Andre DaCostaLopes,text
value_changed,institution,ESTABLISH/PREMISE,58,33,Fraunhofer,NA,text
value_changed,roles_and_main_tasks,ESTABLISH/PREMISE,58,33,ontologies,NA,text
value_changed,function,ESTABLISH/OPEM,50,25,Professor,NA,text
value_changed,name,ESTABLISH/OPEM,50,25,Timm Maier,Prof. Timm Maier,text
value_changed,function,ESTABLISH/PREMISE,54,29,Senior Scientist,Head of Laboratory,text
value_changed,name,ESTABLISH/PREMISE,54,29,Carlo Pignedoli,Corsin Battaglia,text
value_changed,roles_and_main_tasks,ESTABLISH/PREMISE,54,29,Provide application/field interoperability challenges and supervise UI development,Provide application/field interoperability challenges and supervise data collection,text
value_changed,function,CONTRIBUTE/MISHMASH,27,8,INSUFFICIENT DATA,NA,text
value_changed,name,CONTRIBUTE/MISHMASH,27,8,INSUFFICIENT DATA,"Lavrinienko, A.",text
value_changed,institution,CONTRIBUTE/MISHMASH,27,8,INSUFFICIENT DATA,NA,text
value_changed,roles_and_main_tasks,CONTRIBUTE/MISHMASH,27,8,INSUFFICIENT DATA,NA,text
value_changed,function,CONTRIBUTE/STILLBERGDAT,32,13,"Researcher, Department of Environmental Sciences",Department of Environmental Sciences,text
value_changed,institution,CONTRIBUTE/STILLBERGDAT,32,13,UNIBAS,University of Basel,text
value_changed,roles_and_main_tasks,CONTRIBUTE/STILLBERGDAT,32,13,External scientific collaborator (INFERRED FROM TEXT),NA,text
value_changed,institution,EXPLORE/OPENPULSE,111,52,Swiss Data Science Center - SDSC,SDSC,text
value_changed,function,CONTRIBUTE/STILLBERGDAT,30,11,"Researcher, Research Unit Forest Soils and Biogeochemistry",Research Unit Forest Soils and Biogeochemistry,text
value_changed,roles_and_main_tasks,CONTRIBUTE/STILLBERGDAT,30,11,"Co-applicant, data and metadata curation (INFERRED FROM TEXT)",NA,text
value_changed,institution,CONTRIBUTE/ENVIPATH+EDGEBP,2,2,NA,Eawag/UZH,text
value_changed,function,ESTABLISH/OPEM,48,23,Professor,NA,text
value_changed,name,ESTABLISH/OPEM,48,23,Robbie Loewith,Prof. Robbie Loewith,text
value_changed,institution,ESTABLISH/OPEM,46,21,ETH Zurich,"ETH Zurich, Department of Biology. Group Leader PSI, Division of Biology and Chemistry",text
value_changed,roles_and_main_tasks,ESTABLISH/OPEM,46,21,Scientific consultation; SciCat development and operation (WP2),"* Scientific consultation
* SciCat development and operation (WP2)",text
value_changed,name,ESTABLISH/PREMISE,59,34,Sandor Brockhauser,Caterina Barillari,text
value_changed,institution,ESTABLISH/PREMISE,59,34,FAIRMAT,NA,text
value_changed,roles_and_main_tasks,ESTABLISH/PREMISE,59,34,NeXus ontology,NA,text
value_changed,institution,ESTABLISH/OPEM,43,18,PSI,"Science IT Infrastructure and Services, Division Scientific Computing, Theory and Data, PSI",text
value_changed,roles_and_main_tasks,ESTABLISH/OPEM,43,18,"Project Coordination; Coordination SwissUniversities CHORD partners; SciCat devel., operation (WP2)","- Project Coordination
- Coordination SwissUniversities CHORD partners
- SciCat devel., operation (WP2)",text
