change_type,column,row,row_number_main,row_number_current,old_value,new_value,data_type
value_changed,reporting_period,CONTRIBUTE/API-MOSAIC,2,2,2023-07-01/2024-09-30,NA,text
value_changed,project_title,ESTABLISH/OPEM,40,40,OpenEM,OpenEM; CryoEM of Apoferritin,text
value_changed,main_applicant_responsible_for_project,EXPLORE/XCELL,64,64,Mara Naegelin,P Fonti,text
value_changed,project_title,EXPLORE/XCELL,64,64,Towards an Open and FAIR Database for Intra-Annual Tree-Ring Data and Images,Towards an Open and Fair International Tree-Ring database for intra-annual tree-ring data,text
value_changed,explore_call_number,EXPLORE/XCELL,64,64,0.0,2.0,numeric
value_changed,function,EXPLORE/XCELL,64,64,NA,Senior Scientist,text
value_changed,reporting_period,EXPLORE/XCELL,64,64,NA,2024-09-01/2025-05-31,text
value_changed,report,EXPLORE/XCELL,64,64,other,Intermediate,text
value_changed,project_starting_and_end_date,EXPLORE/XCELL,64,64,NA,2024-09-01/2026-02-28,text
value_changed,laboratory_department,EXPLORE/XCELL,64,64,"Swiss Federal Institute for Forest, Snow and Landscape Research WSL","Dendrosciences, Forest Dynamic",text
value_changed,reporting_period,CONTRIBUTE/BOSTORD,4,4,2023-05-01/2024-04-30,NA,text
value_changed,reporting_period,CONTRIBUTE/SRFI-DB,30,30,2023-02-01/2023-07-31,NA,text
value_changed,explore_call_number,CONTRIBUTE/SOLARFUELSDB+,28,28,1.0,0.0,numeric
value_changed,reporting_period,CONTRIBUTE/SOLARFUELSDB+,28,28,2022-07-01/2023-05-31,NA,text
value_changed,project_starting_and_end_date,CONTRIBUTE/SOLARFUELSDB+,28,28,2022-07-01/2023-05-31,"Start: 1 Jul 2022
End: 31 Jan 2023 (extended to 31 May 2023)",text
value_changed,laboratory_department,CONTRIBUTE/WEAR-MED,38,38,"ETH Zürich, SCAI Lab, Gloriastrasse 37/ 39 8092 Zürich Switzerland","ETH Zürich, SCAI Lab, Gloriastrasse 37/ 39, 8092 Zürich, Switzerland",text
value_changed,reporting_period,CONTRIBUTE/GPM-API,12,12,2023-08-01/2024-03-31,NA,text
value_changed,main_applicant_responsible_for_project,CONTRIBUTE/GRAND TOUR,14,14,Jonas Frey,NA,text
value_changed,project_title,CONTRIBUTE/GRAND TOUR,14,14,Data collection for legged robots at high altitude,Boxi: Design Decisions in the Context of Algorithmic Performance for Robotics,text
value_changed,function,CONTRIBUTE/GRAND TOUR,14,14,Robotic researcher,NA,text
value_changed,reporting_period,CONTRIBUTE/GRAND TOUR,14,14,2024-01-01/2024-12-31,NA,text
value_changed,report,CONTRIBUTE/GRAND TOUR,14,14,Final,other,text
value_changed,project_starting_and_end_date,CONTRIBUTE/GRAND TOUR,14,14,2024-11-02/2024-11-03,NA,text
value_changed,laboratory_department,CONTRIBUTE/GRAND TOUR,14,14,Robotic Systems Lab,NA,text
value_changed,institution_of_main_applicant,CONTRIBUTE/GRAND TOUR,14,14,ETH Zurich,NA,text
value_changed,main_applicant_responsible_for_project,CONTRIBUTE/MISHMASH,20,20,NA,"Kim, L.",text
value_changed,project_title,CONTRIBUTE/MISHMASH,20,20,NA,MiShMASH: Tier-based standards for sequence and metadata reporting,text
value_changed,explore_call_number,EXPLORE/INOAP,53,53,1.0,2.0,numeric
value_changed,reporting_period,CONTRIBUTE/FIRE,10,10,2024-04-01/2025-03-31,NA,text
value_changed,main_applicant_responsible_for_project,EXPLORE/XCELL,63,63,P Fonti,Mara Naegelin,text
value_changed,project_title,EXPLORE/XCELL,63,63,Towards an Open and Fair International Tree-Ring database for intra-annual tree-ring data,Towards an Open and FAIR Database for Intra-Annual Tree-Ring Data and Images,text
value_changed,explore_call_number,EXPLORE/XCELL,63,63,2.0,0.0,numeric
value_changed,function,EXPLORE/XCELL,63,63,Senior Scientist,NA,text
value_changed,reporting_period,EXPLORE/XCELL,63,63,2024-09-01/2025-05-31,NA,text
value_changed,report,EXPLORE/XCELL,63,63,Intermediate,other,text
value_changed,project_starting_and_end_date,EXPLORE/XCELL,63,63,2024-09-01/2026-02-28,NA,text
value_changed,laboratory_department,EXPLORE/XCELL,63,63,"Dendrosciences, Forest Dynamic",NA,text
value_changed,institution_of_main_applicant,EXPLORE/XCELL,63,63,WSL,"Swiss Federal Institute for Forest, Snow and Landscape Research WSL",text
value_changed,main_applicant_responsible_for_project,CONTRIBUTE/GRAND TOUR,13,13,Marco Hutter,Jonas Frey,text
value_changed,project_title,CONTRIBUTE/GRAND TOUR,13,13,Fostering Research on Mobile Robotics with High-Quality Data and Open Tooling,Data collection for legged robots at high altitude,text
value_changed,explore_call_number,CONTRIBUTE/GRAND TOUR,13,13,6.0,0.0,numeric
value_changed,function,CONTRIBUTE/GRAND TOUR,13,13,Principle Investigator,NA,text
value_changed,project_starting_and_end_date,CONTRIBUTE/GRAND TOUR,13,13,2024-05-01/2025-04-30,NA,text
value_changed,laboratory_department,CONTRIBUTE/GRAND TOUR,13,13,"Robotics Systems Lab, D-MAVT",Robotic Systems Lab,text
value_changed,main_applicant_responsible_for_project,CONTRIBUTE/MISHMASH,18,18,Lina Kim,NA,text
value_changed,project_title,CONTRIBUTE/MISHMASH,18,18,MiShMASh: Microbiome sequence and metadata availability standards,Project MiShMASh: Microbiome sequence and metadata standardization,text
value_changed,explore_call_number,CONTRIBUTE/MISHMASH,18,18,2.0,0.0,numeric
value_changed,function,CONTRIBUTE/MISHMASH,18,18,Doctoral Candidate,NA,text
value_changed,reporting_period,CONTRIBUTE/MISHMASH,18,18,2023-01-01/2023-12-31,NA,text
value_changed,report,CONTRIBUTE/MISHMASH,18,18,Final,other,text
value_changed,project_starting_and_end_date,CONTRIBUTE/MISHMASH,18,18,2023-01-01/2023-12-31,NA,text
value_changed,laboratory_department,CONTRIBUTE/MISHMASH,18,18,Food Systems Biotechnology / Department of Health Sciences and Technology,Laboratory of Food Systems Biotechnology,text
value_changed,reporting_period,CONTRIBUTE/ENVIPATH+EDGEBP,8,8,2025-04-01/2025-03-31,NA,text
value_changed,reporting_period,CONTRIBUTE/OGAIS,21,21,2024-01-01/2024-12-31,NA,text
value_changed,reporting_period,CONTRIBUTE/TIMERESHDRMX,33,33,2023-01-01/2023-12-31,NA,text
value_changed,project_title,EXPLORE/COORDINEO,45,45,COmmunity Needs of Open Research Data PractIces iN FibEr-Optic Sensing - Leading by Example,COmmunity Needs of Open Research Data Practices iN FibEr-Optic Sensing - Leading by Example,text
value_changed,reporting_period,CONTRIBUTE/XYT,39,39,2022-12-01/2023-10-31,NA,text
value_changed,report,CONTRIBUTE/XYT,39,39,Final,other,text
value_changed,reporting_period,CONTRIBUTE/GLOVDH,11,11,2024-01-01/2024-09-30,NA,text
value_changed,reporting_period,CONTRIBUTE/FACILITATE,9,9,2023-10-01/2024-09-30,NA,text
value_changed,main_applicant_responsible_for_project,CONTRIBUTE/MISHMASH,19,19,NA,Lina Kim,text
value_changed,project_title,CONTRIBUTE/MISHMASH,19,19,Project MiShMASh: Microbiome sequence and metadata standardization,MiShMASh: Microbiome sequence and metadata availability standards,text
value_changed,explore_call_number,CONTRIBUTE/MISHMASH,19,19,0.0,2.0,numeric
value_changed,function,CONTRIBUTE/MISHMASH,19,19,NA,Doctoral Candidate,text
value_changed,report,CONTRIBUTE/MISHMASH,19,19,other,Final,text
value_changed,project_starting_and_end_date,CONTRIBUTE/MISHMASH,19,19,NA,2023-01-01/2023-12-31,text
value_changed,laboratory_department,CONTRIBUTE/MISHMASH,19,19,Laboratory of Food Systems Biotechnology,Food Systems Biotechnology / Department of Health Sciences and Technology,text
value_changed,explore_call_number,EXPLORE/DCSM,46,46,1.0,0.0,numeric
