document_path,data_ethics_human_embryonic_stem_cells,data_ethics_human_embryos,data_ethics_human_participants,data_ethics_human_interventions,data_ethics_clinical_study,data_ethics_human_cells_tissues,data_ethics_personal_data,data_ethics_personal_data_further_processing,data_ethics_personal_data_export_switzerland,data_ethics_personal_data_import_switzerland,data_ethics_personal_data_criminal,data_ethics_animals,data_ethics_activities_outside_switzerland,data_ethics_outside_countries_ethics_issues,data_ethics_local_resources,data_ethics_import_material,data_ethics_export_material,data_ethics_low_middle_income_countries,data_ethics_individuals_at_risk,data_ethics_environmental_harm,data_ethics_endangered_species,data_ethics_human_harm,data_ethics_artificial_intelligence,data_ethics_other_issues
raw/ORD_files/Establish/Pizzi/application/PSI_Pizzi.pdf,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
raw/ORD_files/Establish/Stahlberg/Application/EPFL_Stahlberg.pdf,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
raw/ORD_files/Contribute/Atienza - 5th call/application/EPFL_ATIENZA.pdf,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
raw/ORD_files/Contribute/Balac - 8th call/application/ETHZ_Balac.pdf,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
raw/ORD_files/Contribute/Barriere - 6th call/application/EPFL_BARRIERE.pdf,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
raw/ORD_files/Contribute/Bokulich - 3rd call/application/ETHZ_Bokulich.pdf,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
raw/ORD_files/Contribute/Bonetti - 7th call/application/EPFL_Bonetti.pdf,NA,No,No,NA,No,No,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,No,NA,No,NA,NA,NA,No
raw/ORD_files/Contribute/Dong - 7th call/application/EPFL_DONG.pdf,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
raw/ORD_files/Contribute/Ghiggi - 4th call/application/EPFL_Ghiggi.pdf,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
raw/ORD_files/Contribute/Hutter - 6th call/application/ETHZ_HUTTER.pdf,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
raw/ORD_files/Contribute/Kim - 2nd call/application/ETHZ_Kim.pdf,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
raw/ORD_files/Contribute/Lange - 5th call/application/PSI_LANGE.pdf,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
raw/ORD_files/Contribute/Leonarski - 2nd call/application/PSI_Leonarski.pdf,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
