project_id,project_category,main_applicant_institution,main_applicant_function,main_applicant_first_name,main_applicant_surname,main_applicant_laboratory_name,main_applicant_postcode,main_applicant_city,project_title,project_acronym,project_abstract,start_date,project_duration_months,total_budget_requested
CONTRIBUTE/API-MOSAIC,Contribute,ETH Zürich,Post-doctoral researcher,Sarah,Paradis,Biogeoscience,8092,Zürich,Application Programming Interface for the Modern Ocean Sedimentary Inventory and Archive of Carbon database. (API-MOSAIC),API-MOSAIC,"The increasing use of data repositories in marine geosciences has led to large, albeit dispersed and unstandardized datasets that require large amounts of time and effort to compile and harmonize. To overcome this, the Modern Ocean Sediment Archive and Inventory of Carbon (MOSAIC) database was devised to understand the factors that affect the distribution of the quantity, origin and reactivity of organic carbon in marine sediments, a key component of the global carbon cycle of growing interest with respect to carbon stocktaking and ecosystem services. Over the last year, MOSAIC has quadrupled its spatiotemporal coverage, increased by ten-fold the number of variables it contains, and it is currently stored as a PostgreSQL spatial relational database. The complexity of this expanding database requires it to be dynamically queried through a user-friendly interface. Hence, this project aims to improve the accessibility to the database by creating an Application Programming Interface (API). This will be achieved by building an interactive and user-friendly web-interface that allows users to query MOSAIC. Finally, Python and R packages will also be built that allow researchers to incorporate MOSAIC in their data analysis and processing workflows, ensuring reproducibility of their findings. This project will provide accessibility of the database to users with different backgrounds and interests, building on Open Research Data practices in marine geosciences.",2023-03-01,12,30000
CONTRIBUTE/API-ROGER,Contribute,ETH Zürich,Dr.,Sarah,Paradis,Environmental Physics Group,8092,Zürich,Application Programming Interface for the River to Ocean Geodatabase for Education and Research,API-ROGER,"In order to advance our understanding of the carbon cycle, it is essential to evaluate the spatiotemporal variations of carbon between river and marine environments and gain insights into the pathways of carbon transfer from land to ocean. To do this, we need to work jointly with riverine and marine data, accounting for their temporal and spatial distribution. However, each of these systems have different data and metadata reporting strategies that need to be accounted for, which complicates their joint application. Efforts have been made to compile data from each of these systems into independent databases, but no attempt has yet been done to create a joint database of data of both of these systems while accounting for their different metadata. Hence, this project aims to bring together riverine and marine data into one database to easily query the data between both systems through the River to Ocean Geodatabase for Education and Research (ROGER). This database will be displayed in an interactive web-interface that queries riverine and/or marine data depending on the user’s requirements through a REST API. Harnessing the advanced geographical functions of PostgreSQL, the REST API will include functions that allow users to geospatially integrate riverine and marine data. This new database will provide a crucial step forward in the understanding of the carbon cycle along the land-ocean continuum, while ensuring that the data complies with best Open Research Data practices.",2025-01-01,12,30000
CONTRIBUTE/BOOST4EPILEPSY,Contribute,EPFL,Full Professor,David,Atienza,EPFL STI IEM ESL,1015,Lausanne,Boost for the validation of seizure detection algorithms with ORD (Boost4Epilepsy),Boost4Epilepsy,"In the last decade several initiatives have made annotated scalp EEG datasets of people with epilepsy available to researchers around the world. However, the format of the data varies between datasets. This heterogeneity of data along with a heterogeneity of methods used by researchers to validate algorithms makes comparison of algorithms difficult, ranking the best algorithms impossible and ultimately significantly hinders the research progress.This proposal builds on ORD datasets and community guidelines and standards to propose a unified framework for the validation of seizure detection algorithms. The main objective is the development of tools and standards that will unify the workflow for the validation of seizure detection algorithms in order to make data for seizure detection adhere to the principles of Findable, Accessible, Interpretable and Reusable data.To build this framework we will be contributing to Open Research Data by curating existing public annotated datasets, by standardising the data format of these different datasets. For these standards we will develop software tools that convert the original datasets to this standardised format. We will standardise the methodology to evaluate algorithms in order to build a benchmark state of the art algorithms.We will centralise all this knowledge, datasets, standards tools and benchmark on a website that will help to speed the development of seizure detection algorithms.",2023-10-01,12,30000
CONTRIBUTE/BOSTORD,Contribute,ETH Zürich,Assistant Professor,Nicholas,Bokulich,Food Systems Biotechnology,8092,Zurich,BOSTORD: Building Open-Source Tools for reproducible interaction with biological ORD databases,BOSTORD,"The life sciences are increasingly reliant on access to and use of centralized online databases for exchanging biological information (e.g., NCBI, EBI, MGnify) (EBI, 2022; NCBI, 2022c; Mitchell et al., 2020). These databases allow researchers to share diverse primary (raw) and secondary (processed) biological datasets, allowing downstream re-use. However, significant rate-limiting steps to scientific discovery are (a) technical challenges for users depositing or withdrawing open research data (ORD) from these datasets, and (b) the poor control, traceability, and reproducibility of some steps involved in interacting with and downstream use of these ORD resources. We propose developing ORD tools (software) to facilitate remote, programmatic, and fully FAIR/reproducible interaction with several leading ORD resources that are commonly used in the biological sciences. These will eliminate current barriers to ORD sharing, (re-)use, and practices, and encourage community engagement in ORD practices. In this “contribute” project we will specifically contribute ORD tools for the microbiome research domain, but the mutli-disciplinarity of this field will position our project outcomes to translate to other research domains. This fits the criteria for the Contribute program, as we contribute software tools to facilitate interaction with and re-use of ORD from established ORD databases.",2023-04-01,12,30000
CONTRIBUTE/BRAINSCOREHUMAN,Contribute,EPFL,Tenure-Track Assistant Professor,Martin,Schrimpf,EPFL SV INX-SV UPSCHRIMPF1,1015,Lausanne,BRAINSCOREHUMAN – Making Brain and Behavior Data Accessible for Modelling via Brain-Score,BRAINSCOREHUMAN,"Brain-Score is a fast-growing platform which curates a diverse set of neural and behavioral measurements from non-human primate neuroscience experiments and facilitates its use in evaluating computational models of the brain's visual system. By translating models from machine learning into neuroscientific hypotheses, and neuroscience data into quantitative benchmarks to evaluate such models, Brain-Score makes computational as well as experimental advances available to the broader community in a synergistic manner. In this proposal, we aim to broaden the scope of Brain-Score to data from human experiments which will open the platform to the cognitive neuroscience community and make computational models more broadly applicable.<br/><br/>Specifically, we will:- Contribute new software to the Brain-Score platform to enable it to work with human data. This involves defining new endpoints for computational models to align with human brain anatomy and a common experimental behavioral task.
- Curate the Natural Scenes Dataset (NSD, Allen et al. 2022) for Brain-Score such that it is accessible for reproducible model evaluations. NSD is a large-scale dataset of human whole-brain recordings in response to thousands of natural images.
- Curate the THINGS-similarity dataset (Hebart et al. 2020) for addition into Brain-Score to make it accessible and reproducible for model evaluations. THINGS-similarity is a human behavioral dataset of millions of similarity judgments for thousands of images.",2023-08-01,12,30000
CONTRIBUTE/BRAINSCORETMPRL,Contribute,EPFL,Tenure-Track Assistant Professor,Martin,Schrimpf,EPFL SV INX-SV UPSCHRIMPF1,1015,Lausanne,BRAINSCORETEMPORAL – Making Temporal Brain Recording Accessible For Modeling via Brain-Score,BRAINSCORETMPRL,"Brain-Score is an established platform which curates a diverse set of neural and behavioral measurements from neuroscience experiments and facilitates its use in modeling the brain's visual system. By making experimental data accessible to the modeling community in the form of quantitative benchmarks, Brain-Score allows modelers to evaluate computational hypotheses on a broad range of biological data without having to know the details of each experiment. In this proposal, we aim to broaden the scope of Brain-Score model comparisons from the presentation of static images to video inputs. This will enable the modeling of a critical axis of brain processing in visual cortex that has not yet been explored.

Specifically, we will:

* Contribute new software to Brain-Score to enable the platform to work with temporal data. This involves defining a unified interface for how to provide models with video input, and adding candidate video models from the machine learning community.

* Curate published temporal datasets for Brain-Score. Without Brain-Score, even these public data are often difficult to use for model testing.

* Curate new primate recordings from experimental collaborators (MIT DiCarlo lab) for Brain-Score such that they are accessible for model evaluations. These are among the first electrode recordings in the visual ventral stream where the stimuli are short ecological video clips.",2024-03-01,12,30000
CONTRIBUTE/CA ORD,Contribute,EPFL,"Collaborateur scientifique-fct. dirigeant, Director Gr-ACM",Salvatore,Aprea,EPFL ENAC IA GR-ACM,1015,Lausanne,Contemporary Architecture Open Research Data (CA ORD),CA ORD,"The Groupe ACM (Gr-ACM) is a research group responsible for the collection of architecture heritage archives known as the Archives de la construction moderne (ACM). Digital contents in architecture heritage archives is increasing and will increase in the future both through donations of new born-digital archives and digitization campaigns of paper archives. Through the CA ORD Project, the Gr-ACM aims to improve its capacity to preserve and make FAIRly available data and metadata from digital architecture archives (both born-digital and digitized from paper). To date, the Gr-ACM has collected 4 Tb of digital data made of files in different formats (.dwg, .dxf, .pln, .jpg, .pdf, etc.) stored on external hard drives and CD-Rs, which are therefore unavailable for research. The CA ORD Project aims to fill this gap. It is about installing, configuring, and running the open-source software Archivematica, which is an archiving system based on a multi-services architecture, that allows for automation, extraction, and normalization of data and metadata. These (METS files) will be made available on the already existing ACM’s ORD AtoM-based portal Morphé, since Archivematica and Atom are interoperable. Thanks to readily exploitable data, the CA ORD Project will enlarge the ACM users community (currently limited to historians) including new researchers from the fields of architecture, engineering and land management.",2024-09-01,12,30000
CONTRIBUTE/CATCHARACTPROVI,Contribute,ETH Zürich,Scientist,Erwin,Lam,Swiss Cat+ East,8093,Zürich,Catalysis Characterization Processing and Visualization Tools for Large Open Research Data,CatCharactProVi,"Catalysts play a major role in the production of many chemicals that are used everyday. Their proper characterization allows to understand their properties and therefore enables a rational design of better performing catalysts. Therefore, having large amounts of open access characterization data of catalysts will enable more efficient data/machine learning driven approaches to understand catalysts at a higher level and further speed up the design of better performing catalysts. However, although a wide variety of catalyst characterization data and open access repositories are available, one missing link is the proper and standardized data processing step complying to the FAIR principles prior to the upload to open access repositories.At Swiss Cat+, an ETH domain technology platform, large amounts of data related to catalyst characterization are generated with the help of automated high-throughput technologies. Therefore the aim of the proposal is to implement additional components within the ETHZ Swiss Cat+ ORD Roadmap to have streamlined and standardized catalysis characterization data processing, and visualization tools within and beyond Swiss Cat+. This implementation will fully unlock the potential of using catalysis characterization data that are generated globally.",2024-08-01,12,30000
CONTRIBUTE/ENVIPATH+EDGEBP,Contribute,Eawag,Group leader,Serina,Robinson,Microbial Specialized Metabolism,8600,Duebendorf,Prediction of biodegradation potential from (meta)genomes: advancing the enviPathPlus ORD platform,enviPath+EDGEbp,"Chemical pollution has exceeded planetary boundaries, requiring urgent solutions for chemical waste removal. Microbial biodegradation processes are crucial for breaking down chemical contaminants, yet the functions of microbial communities are often challenging to predict. To address this challenge, we aim to contribute a new pipeline, EDGEbp (Enabling Detection of metaGEnomic biodegradation potential), to advance the research capabilities of the ORD biodegradation prediction software, enviPathPlus. Specifically, in EDGEbp, we will build a Hidden Markov Model-based pipeline to identify biodegradation genes and pathways from total microbial community DNA (metagenomic) sequencing data. EDGEbp will output confidence scores to infer the ‘contaminant biodegradation potential’ of a given microbial community based on sequencing information. In other words, our aim is to build a tool to convert unintelligible DNA sequences into easily-understood biodegradation confidence scores. This will help us infer the capabilities of a specific microbiome to transform chemical contaminants. This project will therefore advance the sustainable development goals of improving water quality by reducing chemical pollution through microbial biodegradation. Overall, we anticipate that EDGEbp will expand the cutting-edge functionalities of the ORD tool enviPathPlus to support its long-term preservation and promote community engagement in line with ORD principles.",2024-03-01,12,15000
CONTRIBUTE/FACILITATE,Contribute,ETH Zürich,Senior Scientist,Hans-Michael,Kaltenbach,Computational Systems Biology,4058,Basel,"FACILITATE - FAIR and reproducible sharing of data, code and computational environment",FACILITATE,"In recent years, a “reproducibility crisis” has been identified in different scientific domains, including biomedical sciences . Open science practices address some aspects of this crisis and are increasingly required by funders, journals, and institutions. Consequently, data should be findable, accessible, interoperable, and reusable (FAIR). However, reproducibility is not guaranteed by FAIR data sharing alone, but also requires a fully defined computational environment including all dependencies for the interpretation of data and generation of publishable results.<br/>To enable full reproducibility, we developed a Reproducible Research Platform (RRP), which encapsulates FAIR research data, code, and the computational environment. Our RRP is based on established open-source tools to manage FAIR data (openBIS ELN-LIMS), code (git), and computational environment (repo2docker), and interacts through JupyterLab. Here, we propose to contribute an extension to easily share projects with all required data and computational components from our RRP with third parties (other research groups, public). We anticipate that sharing RRP projects will finally enable full reusability by allowing others to reproduce, but also modify and extend previous work. Anticipated users include collaborators within and between institutions, authors and reviewers, students and supervisors, and the general public",2023-06-01,12,30000
