"project_id","index","name","function","institution","roles_and_main_tasks"
"CONTRIBUTE/ENVIPATH+EDGEBP",0,"Martina Kalt",NA,"Eawag/UZH",NA
"CONTRIBUTE/ENVIPATH+EDGEBP",1,"Yaochun Yu",NA,"Eawag/UZH",NA
"CONTRIBUTE/ENVIPATH+EDGEBP",2,"Hans-Joachim Ruscheweyh",NA,"ETH",NA
"CONTRIBUTE/ENVIPATH+EDGEBP",3,"Kathrin Fenner",NA,"Eawag/UZH",NA
"CONTRIBUTE/ENVIPATH+EDGEBP",4,"Shinichi Sunagawa",NA,"ETH",NA
"CONTRIBUTE/ENVIPATH+EDGEBP",5,"Serina Robinson",NA,"Eawag",NA
"CONTRIBUTE/MISHMASH",0,"Lavrinienko, A.",NA,NA,NA
"CONTRIBUTE/STILLBERGDAT",0,"Mathias Bavay","Research Unit Snow and Atmosphere","WSL",NA
"CONTRIBUTE/STILLBERGDAT",1,"Mauro Marty","Research Unit Land Change Science","WSL",NA
"CONTRIBUTE/STILLBERGDAT",2,"Marcus Schaub","Research Unit Forest Soils and Biogeochemistry","WSL",NA
"CONTRIBUTE/STILLBERGDAT",3,"Frank Hagedorn","Research Unit Land Change Science","WSL",NA
"CONTRIBUTE/STILLBERGDAT",4,"Patrick Möhl","Department of Environmental Sciences","University of Basel",NA
"CONTRIBUTE/STILLBERGDAT",5,"Ignacio Barbeito","Department of Forest Resources Management","University of British Columbia",NA
"CONTRIBUTE/STILLBERGDAT",6,"EnviDat team","EnviDat team","WSL",NA
"CONTRIBUTE/STILLBERGDAT",7,"Christoph Wohner","Environment Agency","Austria (eLTER data management)",NA
"ESTABLISH/OPEM",0,"Henning Stahlberg","Professor","LBEM, Inst. of Physics, Basic Sciences, EPFL","* Project Management
* Integration with international repositories (WP3)"
"ESTABLISH/OPEM",1,"Spencer Bliven","Scientific Engineer","Science IT Infrastructure and Services, Division Scientific Computing, Theory and Data, PSI","- Project Coordination
- Coordination SwissUniversities CHORD partners
- SciCat devel., operation (WP2)"
"ESTABLISH/OPEM",2,"Rolf Erni","Professor","Empa","* Standards for material science (WP1)"
"ESTABLISH/OPEM",3,"Christophe Coperet","Professor","ETH Zurich, Head of Dep. of Chemistry and Applied Bioscience.","- Storage and Archiving (WP2.2)"
"ESTABLISH/OPEM",4,"Volodymyr Korkhov","Professor","ETH Zurich, Department of Biology. Group Leader PSI, Division of Biology and Chemistry","* Scientific consultation
* SciCat development and operation (WP2)"
"ESTABLISH/OPEM",5,"Gebhard Schertler","Professor","Division of Biology and Chemistry, PSI","- Scientific consultation
- SciCat development and operation (WP2)"
"ESTABLISH/OPEM",6,"Prof. Robbie Loewith",NA,"UNIGE","Automatic deposition in SciCat (WP1)"
"ESTABLISH/OPEM",7,"Prof. Benoît Zuber",NA,"UNIBE","User training and outreach (WP4)"
"ESTABLISH/OPEM",8,"Prof. Timm Maier",NA,"UNIBA","Standards for Life Science (WP1)"
"ESTABLISH/OPEM",9,"Prof. Christel Genoud",NA,"UNIL","Integration with international repositories (WP3)"
"ESTABLISH/PREMISE",0,"Giovanni Pizzi","Group Leader","PSI","Provide WFMS expert knowledge and project lead"
"ESTABLISH/PREMISE",1,"Bernd Rinn","Head of Scientific IT Services","ETH Zurich","Provide ELN expert knowledge and supervision of ELN feature development"
"ESTABLISH/PREMISE",2,"Corsin Battaglia","Head of Laboratory","Empa","Provide application/field interoperability challenges and supervise data collection"
"ESTABLISH/PREMISE",3,"Carlo Pignedoli","Senior Scientist","Empa","Provide application/field interoperability challenges and supervise UI development"
"ESTABLISH/PREMISE",4,"Edan Bainglass",NA,NA,NA
"ESTABLISH/PREMISE",5,"Nukorn Plainpan",NA,NA,NA
"ESTABLISH/PREMISE",6,"Fabio Andre DaCostaLopes",NA,NA,NA
"ESTABLISH/PREMISE",7,"Caterina Barillari",NA,NA,NA
