"project_id","category","index","quantity","descriptions","urls"
"CONTRIBUTE/API-MOSAIC","datasets_databases",0,1,"Refactor of MOSAIC database architecture",NA
"CONTRIBUTE/API-MOSAIC","estimated_users",0,2,"Average of 70 visits to www.mosaic.ethz.ch per month","http://www.mosaic.ethz.ch/"
"CONTRIBUTE/API-MOSAIC","estimated_users",1,2,"Approximately 150 users have downloaded the beta mosaicpy Python package since its publication in May 2024",NA
"CONTRIBUTE/API-MOSAIC","presentations",0,1,"Presentation of new website at EGU 2024","https://meetingorganizer.copernicus.org/EGU24/EGU24-12461.html"
"CONTRIBUTE/API-MOSAIC","software_tools",0,2,"New REST API that queries the database securely","https://pypi.org/project/mosaicpy/"
"CONTRIBUTE/API-MOSAIC","software_tools",1,2,"Beta-version of the Python package mosaicpy was published",NA
"CONTRIBUTE/API-MOSAIC","websites_platforms",0,1,"Launch of new website: www.mosaic.ethz.ch","http://www.mosaic.ethz.ch/"
"CONTRIBUTE/BOOST4EPILEPSY","datasets_databases",0,2,"SzCORE standardized datasets on Zenodo","https://doi.org/10.5281/zenodo.1025999"
"CONTRIBUTE/BOOST4EPILEPSY","datasets_databases",1,2,NA,"https://doi.org/10.5281/zenodo.1064076"
"CONTRIBUTE/BOOST4EPILEPSY","models_standards",0,1,"Enhanced standards, guidelines, workflows, benchmarks, protocols and/or best practice","https://doi.org/10.1111/epi.18113"
"CONTRIBUTE/BOOST4EPILEPSY","presentations",0,4,"Oral presentation - October 2023, Lausanne - Fourth International Congress on Mobile Health and Digital Technology in Epilepsy",NA
"CONTRIBUTE/BOOST4EPILEPSY","presentations",1,4,"Oral presentation – April 2024, Park City, Utah, USA - Second edition of The International Conference on Artificial Intelligence and Other Neurological Disorders",NA
"CONTRIBUTE/BOOST4EPILEPSY","presentations",2,4,"Poster presentation – April 2024, Berne - Data Science for the Sciences",NA
"CONTRIBUTE/BOOST4EPILEPSY","presentations",3,4,"Poster presentation – September 2024, Lausanne – Open Science Days",NA
"CONTRIBUTE/BOOST4EPILEPSY","publications",0,1,"Scientific publication","https://doi.org/10.1111/epi.18113"
"CONTRIBUTE/BOOST4EPILEPSY","repositories_catalogues",0,1,"Catalog of open epilepsy datasets","https://eslweb.epfl.ch/epilepsybenchmarks/framework/#datasets"
"CONTRIBUTE/BOOST4EPILEPSY","software_tools",0,3,"New software for dataset standardization and algorithms evaluation","https://github.com/esl-epfl/sz-validation-framework"
"CONTRIBUTE/BOOST4EPILEPSY","software_tools",1,3,NA,"https://github.com/esl-epfl/epilepsy2bids"
"CONTRIBUTE/BOOST4EPILEPSY","software_tools",2,3,NA,"https://github.com/esl-epfl/timescoring"
"CONTRIBUTE/BOOST4EPILEPSY","websites_platforms",0,1,"New website","https://eslweb.epfl.ch/epilepsybenchmarks"
"CONTRIBUTE/BOSTORD","estimated_users",0,100,"As the functionality has not yet been officially announced, there are currently 0 users that we know about, but we estimate 100s of users within the first year of announcement.",NA
"CONTRIBUTE/BOSTORD","publications",0,1,"Publication in progress",NA
"CONTRIBUTE/BOSTORD","software_tools",0,3,"Aim 1: new QIIME 2 plugin for data upload to the ENA repository (repository private as it is still under active development, so no url is provided)","https://github.com/bokulich-lab/q2-moshpit"
"CONTRIBUTE/BOSTORD","software_tools",1,3,"Aim 2: new QIIME 2 plugin (`q2-checkm`) integrating CheckM QC tool",NA
"CONTRIBUTE/BOSTORD","software_tools",2,3,"Aim 2: expansion of the `q2-moshpit` plugin by QC actions using BUSCO",NA
"CONTRIBUTE/BRAINSCOREHUMAN","datasets_databases",0,2,"Natural Scenes Dataset curated and packaged for Brain-Score","https://www.brain-score.org/benchmark/vision/169"
"CONTRIBUTE/BRAINSCOREHUMAN","datasets_databases",1,2,"THINGS-similarity dataset curated and benchmark made available via Brain-Score","https://github.com/brain-score/vision/pull/1221"
"CONTRIBUTE/BRAINSCOREHUMAN","estimated_users",0,400,"Over 400 registered Brain-Score users",NA
"CONTRIBUTE/BRAINSCOREHUMAN","estimated_users",1,400,"100,000+ visits to the website per year",NA
"CONTRIBUTE/BRAINSCOREHUMAN","models_standards",0,4,"New model API proposal for human data","https://github.com/brain-score/vision/blob/master/brainscore_vision/model_interface.py"
"CONTRIBUTE/BRAINSCOREHUMAN","models_standards",1,4,"New benchmark definition for THINGS-similarity","https://www.brain-score.org/benchmark/vision/169"
"CONTRIBUTE/BRAINSCOREHUMAN","models_standards",2,4,"Implementation of new similarity metric and experimental paradigm","https://github.com/brain-score/vision/pull/1221"
"CONTRIBUTE/BRAINSCOREHUMAN","models_standards",3,4,"Numerous new models submitted for benchmarking as an indirect result","https://www.brain-score.org/model/vision/2147"
"CONTRIBUTE/BRAINSCOREHUMAN","new_collaborations",0,2,"My group now more closely works with the Hebart lab at MPI",NA
"CONTRIBUTE/BRAINSCOREHUMAN","new_collaborations",1,2,"My group now more closely works with the Yamins lab at Stanford",NA
"CONTRIBUTE/BRAINSCOREHUMAN","outreach_activities",0,1,NA,"https://www.brain-score.org/competition/"
"CONTRIBUTE/BRAINSCOREHUMAN","publications",0,8,"3 publications from my group, at least 5 publications by others using resources from this project",NA
"CONTRIBUTE/BRAINSCOREHUMAN","repositories_catalogues",0,1,NA,"www.github.com/brain-score/vision"
